code,name,industry,area
000001,平安银行,银行,深圳
000002,万 科Ａ,全国地产,深圳
000004,国农科技,生物制药,深圳
000005,世纪星源,房产服务,深圳
000006,深振业Ａ,区域地产,深圳
000007,全新好,酒店餐饮,深圳
000008,神州高铁,运输设备,北京
000009,中国宝安,综合类,深圳
000010,美丽生态,建筑施工,深圳
000011,深物业A,区域地产,深圳
000012,南 玻Ａ,玻璃,深圳
000014,沙河股份,全国地产,深圳
000016,深康佳Ａ,家用电器,深圳
000017,深中华A,文教休闲,深圳
000018,神州长城,装修装饰,深圳
000019,深深宝Ａ,软饮料,深圳
000020,深华发Ａ,元器件,深圳
000021,深科技,电脑设备,深圳
000022,深赤湾Ａ,港口,深圳
000023,深天地Ａ,其他建材,深圳
000025,特 力Ａ,汽车服务,深圳
000026,飞亚达Ａ,其他商业,深圳
000027,深圳能源,火力发电,深圳
000028,国药一致,医药商业,深圳
000029,深深房Ａ,区域地产,深圳
000030,富奥股份,汽车配件,吉林
000031,中粮地产,全国地产,深圳
000032,深桑达Ａ,元器件,深圳
000034,神州数码,综合类,深圳
000035,中国天楹,环境保护,江苏
000036,华联控股,全国地产,深圳
000037,深南电A,火力发电,深圳
000038,深大通,广告包装,深圳
000039,中集集团,轻工机械,深圳
000040,东旭蓝天,全国地产,深圳
000042,中洲控股,全国地产,深圳
000043,中航地产,全国地产,深圳
000045,深纺织Ａ,纺织,深圳
000046,泛海控股,全国地产,北京
000048,康达尔,饲料,深圳
000049,德赛电池,电气设备,深圳
000050,深天马Ａ,元器件,深圳
000055,方大集团,其他建材,深圳
000056,皇庭国际,房产服务,深圳
000058,深 赛 格,元器件,深圳
000059,华锦股份,石油加工,辽宁
000060,中金岭南,铅锌,深圳
000061,农 产 品,农业综合,深圳
000062,深圳华强,商贸代理,深圳
000063,中兴通讯,通信设备,深圳
000065,北方国际,建筑施工,北京
000066,中国长城,电脑设备,深圳
000068,华控赛格,元器件,深圳
000069,华侨城Ａ,旅游景点,深圳
000070,特发信息,通信设备,深圳
000078,海王生物,生物制药,深圳
000088,盐 田 港,港口,深圳
000089,深圳机场,机场,深圳
000090,天健集团,建筑施工,深圳
000096,广聚能源,石油贸易,深圳
000099,中信海直,空运,深圳
000100,TCL 集团,家用电器,广东
000150,宜华健康,医疗保健,广东
000151,中成股份,商贸代理,北京
000153,丰原药业,化学制药,安徽
000155,*ST川化,农药化肥,四川
000156,华数传媒,影视音像,浙江
000157,中联重科,工程机械,湖南
000158,常山股份,纺织,河北
000159,国际实业,石油贸易,新疆
000166,申万宏源,证券,新疆
000301,东方市场,综合类,江苏
000333,美的集团,家用电器,广东
000338,潍柴动力,汽车配件,山东
000400,许继电气,电气设备,河南
000401,冀东水泥,水泥,河北
000402,金 融 街,全国地产,北京
000403,ST生化,生物制药,山西
000404,华意压缩,专用机械,江西
000407,胜利股份,供气供热,山东
000408,藏格控股,农药化肥,青海
000409,山东地矿,综合类,山东
000410,*ST沈机,机床制造,辽宁
000411,英特集团,医药商业,浙江
000413,东旭光电,元器件,河北
000415,渤海金控,多元金融,新疆
000416,民生控股,多元金融,山东
000417,合肥百货,百货,安徽
000418,小天鹅Ａ,家用电器,江苏
000419,通程控股,百货,湖南
000420,吉林化纤,化纤,吉林
000421,南京公用,供气供热,江苏
000422,湖北宜化,农药化肥,湖北
000423,东阿阿胶,中成药,山东
000425,徐工机械,工程机械,江苏
000426,兴业矿业,铅锌,内蒙
000428,华天酒店,酒店餐饮,湖南
000429,粤高速Ａ,路桥,广东
000430,张家界,旅游景点,湖南
000488,晨鸣纸业,造纸,山东
000498,山东路桥,建筑施工,山东
000501,鄂武商Ａ,百货,湖北
000502,绿景控股,医疗保健,广东
000503,海虹控股,医疗保健,海南
000504,南华生物,出版业,湖南
000505,珠江控股,房产服务,海南
000506,中润资源,区域地产,山东
000507,珠海港,港口,广东
000509,华塑控股,其他建材,四川
000510,金路集团,化工原料,四川
000511,*ST烯碳,矿物制品,辽宁
000513,丽珠集团,中成药,广东
000514,渝 开 发,区域地产,重庆
000516,国际医学,百货,陕西
000517,荣安地产,区域地产,浙江
000518,四环生物,生物制药,江苏
000519,中兵红箭,矿物制品,湖南
000520,长航凤凰,水运,湖北
000521,美菱电器,家用电器,安徽
000523,广州浪奇,日用化工,广东
000524,岭南控股,酒店餐饮,广东
000525,红 太 阳,农药化肥,江苏
000526,*ST紫学,文教休闲,福建
000528,柳 工,工程机械,广西
000529,广弘控股,食品,广东
000530,大冷股份,机械基件,辽宁
000531,穗恒运Ａ,火力发电,广东
000532,华金资本,元器件,广东
000533,万 家 乐,家用电器,广东
000534,万泽股份,区域地产,广东
000536,华映科技,元器件,福建
000537,广宇发展,区域地产,天津
000538,云南白药,中成药,云南
000539,粤电力Ａ,火力发电,广东
000540,中天金融,多元金融,贵州
000541,佛山照明,家用电器,广东
000543,皖能电力,火力发电,安徽
000544,中原环保,环境保护,河南
000545,金浦钛业,化工原料,吉林
000546,金圆股份,水泥,吉林
000547,航天发展,通信设备,福建
000548,湖南投资,路桥,湖南
000550,江铃汽车,汽车整车,江西
000551,创元科技,专用机械,江苏
000552,靖远煤电,煤炭开采,甘肃
000553,沙隆达Ａ,农药化肥,湖北
000554,泰山石油,石油贸易,山东
000555,神州信息,软件服务,深圳
000557,西部创业,红黄药酒,宁夏
000558,莱茵体育,文教休闲,浙江
000559,万向钱潮,汽车配件,浙江
000560,昆百大Ａ,百货,云南
000561,烽火电子,通信设备,陕西
000563,陕国投Ａ,多元金融,陕西
000564,供销大集,百货,陕西
000565,渝三峡Ａ,染料涂料,重庆
000566,海南海药,化学制药,海南
000567,海德股份,区域地产,海南
000568,泸州老窖,白酒,四川
000570,苏常柴Ａ,机械基件,江苏
000571,新大洲Ａ,煤炭开采,海南
000572,海马汽车,汽车整车,海南
000573,粤宏远Ａ,区域地产,广东
000576,广东甘化,造纸,广东
000581,威孚高科,汽车配件,江苏
000582,北部湾港,港口,广西
000584,哈工智能,化纤,江苏
000585,东北电气,电气设备,江苏
000586,汇源通信,通信设备,四川
000587,金洲慈航,批发业,黑龙江
000589,黔轮胎Ａ,汽车配件,贵州
000590,启迪古汉,中成药,湖南
000591,太阳能,新型电力,重庆
000592,平潭发展,林业,福建
000593,大通燃气,供气供热,四川
000595,*ST宝实,机械基件,宁夏
000596,古井贡酒,白酒,安徽
000597,东北制药,化学制药,辽宁
000598,兴蓉环境,水务,四川
000599,青岛双星,汽车配件,山东
000600,建投能源,火力发电,河北
000601,韶能股份,水力发电,广东
000603,盛达矿业,铅锌,北京
000605,渤海股份,水务,北京
000606,神州易桥,化学制药,青海
000607,华媒控股,广告包装,浙江
000608,阳光股份,区域地产,广西
000609,绵石投资,区域地产,北京
000610,西安旅游,旅游服务,陕西
000611,天首发展,纺织,内蒙
000612,焦作万方,铝,河南
000613,*ST东海A,旅游服务,海南
